Time	SizeNorm	NN	MaxRgMorm	MaxRg	EffPhi
22.2	0.011115719	3.2040014291	0.4312472038	55.1996420891	0.2844187837
22.3	0.0111800991	3.2289416847	0.4333849354	55.4732717283	0.278095709
22.4	0.0113412927	3.2508096438	0.4358542946	55.789349703	0.2804653294
22.5	0.0110768256	3.2475745598	0.4344421057	55.6085895302	0.2769300342
22.6	0.011319798	3.2544080605	0.436877808	55.9203594215	0.2783295908
22.7	0.0112704082	3.27	0.436849573	55.9167453438	0.2805417099
22.8	0.0115690724	3.2859185132	0.4364872598	55.8703692485	0.2789378949
22.9	0.0116997449	3.2885714286	0.4327359285	55.3901988504	0.2773955678
23	0.0129222389	3.3096774194	0.4335361142	55.4926226205	0.2959630304
23.1	0.0132837659	3.3116511794	0.4909379231	62.8400541532	0.3092643226
23.2	0.0116588933	3.3206463196	0.4322652675	55.3299542367	0.2779312311
23.3	0.012768695	3.3321403006	0.4342053103	55.5782797205	0.2905211578
23.4	0.0117623543	3.3376205788	0.4364875065	55.870400835	0.2797808043
23.5	0.011734433	3.3655913978	0.4380491451	56.0702905719	0.2791761715
23.6	0.0117196854	3.3619456366	0.4397874192	56.2927896579	0.2823505913
23.7	0.01240101	3.3788908766	0.4408967719	56.4347868077	0.2796898493
23.8	0.0118220499	3.3789398281	0.4385158669	56.1300309583	0.2784453026
23.9	0.0119621757	3.3743257821	0.4396417432	56.2741431254	0.281583795
24	0.0122217798	3.3989971347	0.4366827762	55.8953953593	0.2875644733
24.1	0.0134844821	3.4113449875	0.5443852529	69.6813123703	0.321713043
24.2	0.0137938079	3.414703783	0.5436433618	69.5863503074	0.3240539792
24.3	0.0139227054	3.4275517488	0.5404854766	69.1821410061	0.3353960536
24.4	0.0139272712	3.4331780724	0.5387510765	68.9601377913	0.3369371925
24.5	0.0141183159	3.4312320917	0.5344218789	68.4060005035	0.3391163916
24.6	0.0140941149	3.4437275986	0.5351706626	68.5018448069	0.3372517937
24.7	0.0142871633	3.4593044102	0.5343852601	68.401313289	0.3460032328
24.8	0.0140556386	3.4754919499	0.5331970658	68.2492244176	0.3411390608
24.9	0.0143453418	3.4782608696	0.5323735945	68.1438201021	0.3464702051
25	0.0144724149	3.5005351409	0.530127903	67.85637159	0.3425297349
25.1	0.0143498816	3.5105696883	0.531970152	68.0921794598	0.3376108101
25.2	0.0144448791	3.5385166607	0.5308909328	67.9540393936	0.3307132009
25.3	0.0145360055	3.5343839542	0.5300395724	67.8450652649	0.3344452859
25.4	0.0146080538	3.5466954023	0.5278041146	67.5589266703	0.3337711142
25.5	0.0145152298	3.5462365591	0.5262838678	67.3643350797	0.3310515069
27	0.0181963675	3.6598689002	0.534179093	68.3749239078	0.350033556
27.099	0.0176714314	3.6972509818	0.5337617726	68.3215068882	0.3461977869
27.198	0.0177035491	3.6918667144	0.5344553661	68.410286863	0.3470904141
27.297	0.0176597181	3.6994261119	0.5338260726	68.3297372874	0.3415832519
27.396	0.0173667011	3.7145938174	0.5321758865	68.1185134669	0.3383096545
27.495	0.0178563681	3.7036239684	0.5289610161	67.7070100663	0.3470910899
27.594	0.0187208219	3.7381294964	0.5263371137	67.3711505485	0.3590279437
27.693	0.0185466186	3.7447879224	0.5272062545	67.4824005724	0.3614328519
27.792	0.018564599	3.7490987743	0.5254592377	67.2587824201	0.3555703814
27.891	0.0186950725	3.7714696371	0.5243230572	67.1133513184	0.3590043613
27.99	0.0186195609	3.7696447793	0.527452979	67.5139813146	0.360685472
28.089	0.0188050615	3.7688984881	0.526742532	67.4230440992	0.35805899
28.188	0.0184996072	3.7673586256	0.5277452348	67.5513900592	0.3578492715
28.287	0.0186910631	3.7816091954	0.5257073548	67.2905414195	0.3547661574
28.386	0.0187556754	3.7958303379	0.5186944491	66.392889483	0.3527914597
28.485	0.0188399569	3.7999282897	0.5209874497	66.6863935602	0.3584399431
28.584	0.0187052398	3.8012155881	0.5204686487	66.6199870355	0.3559791239
28.683	0.0184637225	3.8093538022	0.5206396704	66.6418778074	0.3501252857
28.782	0.0190605643	3.8264610972	0.5217998079	66.7903754158	0.3556319501
28.881	0.0191584821	3.8320775027	0.5250065411	67.2008372551	0.3546001532
28.98	0.0193375348	3.8370423546	0.5265315508	67.3960385038	0.3545133764
29.079	0.0193801517	3.8490837226	0.5297727254	67.8109088507	0.3560184159
29.178	0.0193850043	3.8480831243	0.5263691322	67.3752489263	0.3548229895
29.277	0.0242498949	3.8550517672	0.6565461007	84.0379008921	0.3990865289
29.376	0.0245059814	3.8629350556	0.6559731519	83.9645634436	0.3980580537
29.475	0.0248641956	3.8723098996	0.6544658879	83.7716336559	0.4039336689
29.574	0.0244268356	3.8706896552	0.6531187566	83.5992008438	0.3905560573
